,client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,gendr_v
34917,480792,28.0,341.0,25.0,F,3.0,667240.9800000001,1.0,4.0,2
35161,5250186,37.0,449.0,23.5,F,3.0,40786.28999999999,6.0,9.0,2
35299,900576,22.0,268.0,21.5,F,2.0,33939.71,0.0,3.0,2
35550,6430083,23.0,288.0,20.5,F,3.0,58815.84,2.0,5.0,2
35899,9120385,48.0,576.0,43.0,M,4.0,896608.18,6.0,9.0,1
35949,7752289,24.0,298.0,20.5,M,2.0,41263.7,3.0,6.0,1
35950,1180544,23.0,277.0,21.5,F,2.0,46734.01,2.0,5.0,2
36268,9154286,31.0,373.0,30.5,M,2.0,58353.04,6.0,9.0,1
36438,6290836,22.0,271.0,19.5,F,3.0,51316.52,1.0,4.0,2
36459,5594406,28.0,339.0,25.5,M,2.0,42588.23,6.0,9.0,1
36481,1394404,23.0,279.0,22.5,M,2.0,44395.15,0.0,3.0,1
36531,3482195,23.0,286.0,18.5,F,2.0,55459.16,1.0,4.0,2
36724,8396620,25.0,310.0,20.5,M,4.0,38977.9,2.0,5.0,1
36738,5518388,25.0,305.0,22.5,M,3.0,52776.77,5.0,8.0,1
36741,8383420,21.0,254.0,17.5,M,3.0,44371.57,0.0,3.0,1
36765,5797088,30.0,360.0,24.5,F,2.0,28327.36,3.0,6.0,2
36891,9402252,33.0,407.0,30.5,F,2.0,33912.39,3.0,7.0,2
36981,3291122,22.0,274.0,21.5,F,3.0,40627.53,6.0,9.0,2
37159,2267895,28.0,337.0,27.5,F,3.0,72245.5,6.0,9.0,2
37165,3584557,25.0,306.0,21.5,M,3.0,43582.45,5.0,8.0,1
37561,3201665,22.0,267.0,21.5,M,3.0,59285.37,1.0,4.0,1
37742,9006692,21.0,256.0,19.0,U,2.0,35431.82,0.0,3.0,0
37743,5369371,20.0,251.0,18.5,F,2.0,27494.76,4.0,7.0,2
37900,1570493,23.0,283.0,20.5,F,2.0,69925.73999999999,5.0,8.0,2
